timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent,pct_change,volatility
2020-04-10 00:00:00,0.9510539770126344,0.8320050239562988,1.3134870529174805,87364276,0.6941869854927063,0.9510539770126344,SOL,4,15,62,20,4,,
2020-04-11 00:00:00,0.7768189907073975,0.9510539770126344,1.0490729808807373,43862444,0.7650200128555298,0.7768189907073975,SOL,5,15,56,17,5,-18.32019953825631,
2020-04-12 00:00:00,0.8825070261955261,0.7854480147361755,0.9566699862480164,38736897,0.7624260187149048,0.8825070261955261,SOL,5,16,63,18,4,13.605233233534308,
2020-04-13 00:00:00,0.7778319716453552,0.8907600045204163,0.8916029930114746,18211285,0.7739760279655457,0.7778319716453552,SOL,3,15,58,17,4,-11.861101548553489,
2020-04-14 00:00:00,0.6619250178337097,0.7778319716453552,0.7964720129966736,16747614,0.6281690001487732,0.6619250178337097,SOL,4,13,57,22,9,-14.901284343772403,
2020-04-15 00:00:00,0.646651029586792,0.6692889928817749,0.7049639821052551,13075275,0.6215310096740723,0.646651029586792,SOL,4,16,59,18,4,-2.307510342622354,
2020-04-16 00:00:00,0.6908159852027893,0.6308789849281311,0.7741919755935669,21346031,0.6251069903373718,0.6908159852027893,SOL,4,15,62,17,4,6.82979746343535,
2020-04-17 00:00:00,0.6607279777526855,0.6893119812011719,0.7196140289306641,9870810,0.6607279777526855,0.6607279777526855,SOL,5,15,60,19,4,-4.355430113747505,
2020-04-18 00:00:00,0.6810960173606873,0.6607279777526855,0.7176179885864258,9782112,0.6594269871711731,0.6810960173606873,SOL,3,13,63,22,4,3.0826664366898626,
2020-04-19 00:00:00,0.6069689989089966,0.6815159916877747,0.6846410036087036,9289670,0.5984870195388794,0.6069689989089966,SOL,3,13,58,19,9,-10.883490221971936,
2020-04-20 00:00:00,0.538811981678009,0.6129480004310608,0.6392539739608765,8342616,0.5205780267715454,0.538811981678009,SOL,5,14,55,17,7,-11.229077161024225,
2020-04-21 00:00:00,0.5876590013504028,0.5413870215415955,0.6045860052108765,9711507,0.5085489749908447,0.5876590013504028,SOL,3,13,60,20,4,9.065689207628736,
2020-04-22 00:00:00,0.6916009783744812,0.5811660289764404,0.7069640159606934,18828400,0.5696210265159607,0.6916009783744812,SOL,5,15,60,18,5,17.68746446242231,
2020-04-23 00:00:00,0.6274570226669312,0.6853470206260681,0.6980770230293274,13485271,0.6003220081329346,0.6274570226669312,SOL,4,15,57,17,4,-9.274705749883715,
2020-04-24 00:00:00,0.6342419981956482,0.6240209937095642,0.671019971370697,9064190,0.6139410138130188,0.6342419981956482,SOL,5,16,60,17,4,1.0813450616710574,
2020-04-25 00:00:00,0.6433290243148804,0.6305279731750488,0.6709480285644531,7311905,0.6215469837188721,0.6433290243148804,SOL,5,14,58,17,6,1.432737999861855,
2020-04-26 00:00:00,0.6355059742927551,0.6532149910926819,0.6914989948272705,8320760,0.6311709880828857,0.6355059742927551,SOL,5,15,62,17,6,-1.216026283044902,
2020-04-27 00:00:00,0.5723720192909241,0.6357139945030212,0.6602830290794373,7406934,0.561028003692627,0.5723720192909241,SOL,5,15,59,16,6,-9.934439258748407,
2020-04-28 00:00:00,0.6612930297851562,0.5782529711723328,0.692147970199585,7470201,0.5684840083122253,0.6612930297851562,SOL,5,14,61,20,4,15.535527156689266,
2020-04-29 00:00:00,0.7458400130271912,0.6622859835624695,0.77777099609375,8801144,0.655273973941803,0.7458400130271912,SOL,5,14,56,17,4,12.785101223507954,
2020-04-30 00:00:00,0.6910449862480164,0.7471950054168701,0.800815999507904,5016892,0.6878809928894043,0.6910449862480164,SOL,5,15,62,16,4,-7.346753435334552,10.835183034607466
2020-05-01 00:00:00,0.7287939786911011,0.6910449862480164,0.7370709776878357,4164272,0.685903012752533,0.7287939786911011,SOL,4,16,63,16,4,5.462595517556745,10.118676584431375
2020-05-02 00:00:00,0.7158759832382202,0.7272679805755615,0.7489809989929199,3441356,0.7079039812088013,0.7158759832382202,SOL,4,14,56,20,5,-1.7725167647626994,9.615204456049844
2020-05-03 00:00:00,0.6795349717140198,0.7147960066795349,0.7298009991645813,3328344,0.6566159725189209,0.6795349717140198,SOL,5,15,62,16,4,-5.076439547505718,9.312121458313303
2020-05-04 00:00:00,0.6674910187721252,0.6796249747276306,0.7058119773864746,3443698,0.6184340119361877,0.6674910187721252,SOL,5,14,59,16,6,-1.7723816202594445,8.666557356556918
